name,id
activity_manager:defer_boot_completed_broadcast,4630287741366763520
activity_manager:enable_metacam_screen_recording_signal,4630006266390642688
activity_manager:full_pss_lowered_interval,4630287741367156736
activity_manager:full_pss_min_interval,4630287741367091200
activity_manager:low_swap_threshold_percent,4630850691320053760
activity_manager:max_cached_processes,4630287741366829056
activity_manager:max_phantom_processes,4630287741366894592
activity_manager:min_crash_interval,4630287741367025664
activity_manager:no_kill_cached_processes_post_boot_completed_duration_millis,4630287741366960128
activity_manager:proactive_kills_enabled,6935849275603681280
activity_manager:service_start_foreground_anr_delay_ms,4630287741367287808
activity_manager:service_start_foreground_timeout_ms,4630287741367222272
activity_manager:use_compaction,6935849275603550208
activity_manager:use_modern_trim,6935849275604402176
aosp_system_native:enable_gpu_release_fence,4630006934795255808
aosp_system_native:enable_spc_multi_buffer,4630006934794797056
aosp_system_native:hdr_display_max_lumi,4630851359724535808
aosp_system_native:hdr_tone_mapping_content_max_lumi,4630851359724601344
aosp_system_native:hzos_allow_spatial_panels_in_overlay,4630006934795059200
aosp_system_native:hzos_enable_fullhd_pca,6935849944009408512
aosp_system_native:hzos_enable_horizon_audio_service,4630006934794600448
aosp_system_native:hzos_enable_mvhevc_decoder,6935849944008032256
aosp_system_native:hzos_enable_mvhevc_encoder,6935849944009146368
aosp_system_native:hzos_eps_mixer_thread_lazy_init,4630006934794993664
aosp_system_native:hzos_multi_audio_focus,4630288409771638784
aosp_system_native:multi_microphone_audio_policy_enabled,4630006934794534912
aosp_system_native:vros_enable_dolby_ac4,4630006934795517952
aosp_system_sessionless:autofill_manual_entry_update_detection_enabled,4630006935063560192
aosp_system_sessionless:autofill_popup_ensure_absolute_bounds,6935849944277188608
aosp_system_sessionless:hdr_display_max_lumi,4630851359992840192
aosp_system_sessionless:hdr_tone_mapping_content_max_lumi,4630851359992905728
aosp_system_sessionless:hzos_anss_app_blocklist_image,4630569885016391680
aosp_system_sessionless:hzos_anss_app_blocklist_text,4630569885016326144
aosp_system_sessionless:hzos_anss_app_blocklist_video,4630569885016457216
aosp_system_sessionless:hzos_anss_enable_msgr_placeholder,4630006935063101440
aosp_system_sessionless:hzos_propagate_secure_flag_to_vwr_killswitch,4630006935063298048
aosp_system_sessionless:hzos_settings_credman_override,4630006935063429120
aosp_system_sessionless:improve_install_freeze,6935849944277385216
aosp_system_sessionless:is_in_call_audio_recording_enabled,4630006935063363584
app_hibernation:app_hibernation_enabled,4630006820172201984
constellation_native:oculus_input_tracking_use_lowpass_for_ct_in_hand,4630006987139121152
credential_manager:enable_credential_manager,4630013422879113216
